 't," ""An it"
r," ""One who abhors."""
s," ""The principal star in Scorpio: -- called also the Scorpion's Heart."""
ia," ""Absence or closure of a natural passage or channel of the body; imperforation."""
s," ""A female hearer."""
t," ""A scurfiness of the back part of the hind leg of a horse; -- also named rat-tails."""
t," ""Same as Aret."""
ical," ""Doubting; skeptical."""
uvoir," ""The joint or interstice between stones"
viate," ""An abridgment."""
viating," ""of Abbreviate"""
viation," ""One dash"
viator," ""One of a college of seventy-two officers of the papal court whose duty is to make a short minute of a decision on a petition"
viature," ""An abridgment; a compendium or abstract."""
xia," ""Alt. of Anorexy"""
xy," ""Want of appetite"
ge," ""An inn."""
haphostic," ""Seamless."""
hizal," ""Alt. of Arrhizous"""
hizous," ""Destitute of a true root"
hythmic," ""Alt. of Arrhythmous"""
hythmous," ""Being without rhythm or regularity"
hytmy," ""Want of rhythm."""
ia," ""of Atrium"""
l," ""Light as air; ethereal."""
ible," ""Detestable."""
ic," ""The jurisdiction or office of an archbishop; the see or province over which archbishop exercises archiepiscopal authority."""
al," ""Like the articles."""
e," ""An inordinate desire for some supposed good."""
s," ""Nursers"
ious," ""Actuated by avarice; greedy of gain; immoderately desirous of accumulating property."""
ock," ""See Apricot."""
ide," ""To please; to gratify."""
idge," ""To deprive; to cut off; -- followed by of"
idging," ""of Abridge"""
idgment," ""That which abridges or cuts short; hence"
ie," ""Alt. of Ayry"""
re," """"""""""That which is behind""""""""; the rear; -- chiefly used as an adjective in the sense of behind"
iferous," ""Conveying or containing air; air-bearing; as"
ification," ""The act of becoming aerified"
iform," ""Having the form or nature of air"
ify," ""To change into an aeriform state."""
iman," ""The Evil Principle or Being of the ancient Persians; the Prince of Darkness as opposer to Ormuzd"
ing," ""of Aver"""
iophagy," ""A depraved appetite; a desire for improper food."""
ior," ""Before"
ious," ""Sandy; as"
ip," ""Hoisted up and ready to be swayed across; -- said of yards."""
is," ""The sharp edge or salient angle formed by two surfaces meeting each other"
ita," ""Ambrosial; immortal."""
ium," ""A cavity in ascidians into which the intestine and generative ducts open"
ius," ""A constellation south of Pegasus."""
ival," ""An approach."""
ivance," ""Arrival."""
ive," ""Arrival."""
iving," ""of Arrive"""
ix," ""A female sovereign who is independent and absolute; -- a title given to the empresses of Russia."""
mal," ""Not according to rule; abnormal."""
n," ""To adorn."""
o-," ""A combining form meaning anterior"
oach," ""Hence: In a state to be diffused or propagated; afoot; astir."""
oad," ""Before the public at large; throughout society or the world; here and there; widely."""
oba," ""A Spanish liquid measure for wine = 3.54 imp. gallons"
obies," ""Microorganisms which live in contact with the air and need oxygen for their growth; as the microbacteria which form on the surface of putrefactive fluids."""
obiotic," ""Related to"
ocha," ""A kind of chaetopod larva in which no circles of cilia are developed."""
ocious," ""Very grievous or violent; terrible; as"
ocities," ""of Atrocity"""
ocity," ""An atrocious or extremely cruel deed."""
ocyst," ""One of the air cells of algals."""
odynamic," ""Pertaining to the force of air in motion."""
oecium," ""The stamens of a flower taken collectively."""
ogable," ""Capable of being abrogated."""
ogance," ""The act or habit of arrogating"
ogancy," ""Arrogance."""
ogant," ""Containing arrogance; marked with arrogance; proceeding from undue claims or self-importance; -- applied to things; as"
ogate," ""To assume"
ogating," ""of Arrogate"""
ogation," ""Adoption of a person of full age."""
ogative," ""Making undue claims and pretension; prone to arrogance."""
ogator," ""One who repeals by authority."""
ognosy," ""The science which treats of the properties of the air"
ographer," ""One versed in aeography: an aerologist."""
ographic," ""Alt. of Aerographical"""
ography," ""A description of the air or atmosphere; aerology."""
ogynal," ""Bearing both staminiferous and pistilliferous flowers in the same cluster."""
ogyne," ""An androgynous plant."""
ogynism," ""Union of both sexes in one individual; hermaphroditism."""
ogynous," ""Alt. of Androgynal"""
ogyny," ""Alt. of Androgynism"""
ohydrodynamic," ""Acting by the force of air and water; as"
oid," ""Resembling a man."""
oism," ""The tenets of the Averroists."""
oist," ""One of a sect of peripatetic philosophers"
olite," ""A stone"
olith," ""Same as A/rolite."""
olitic," ""Of or pertaining to aerolites; meteoric; as"
ologic," ""Alt. of Aerological"""
ologist," ""One versed in aerology."""
ology," ""That department of physics which treats of the atmosphere."""
omancy," ""Divination from the state of the air or from atmospheric substances; also"
omatic," ""Uncolored; not absorbing color from a fluid; -- said of tissue."""
omatin," ""Tissue which is not stained by fluid dyes."""
omatism," ""The state or quality of being achromatic; as"
omatization," ""The act or process of achromatizing."""
omatize," ""To deprive of color; to make achromatic."""
omatizing," ""of Achromatize"""
omatopsy," ""Color blindness; inability to distinguish colors; Daltonism."""
omeda," ""A genus of ericaceous flowering plants of northern climates"
ometer," ""An instrument for ascertaining the weight or density of air and gases."""
ometric," ""Of or pertaining to aerometry; as"
ometry," ""The science of measuring the air"
omical," ""Pertaining to an Attic festival at the naming of a child; -- so called because the friends of the parents carried the child around the hearth and then named it."""
on," ""The apartment appropriated for the males. This was in the lower part of the house."""
aut," ""An aerial navigator; a balloonist."""
dissement," ""A subdivision of a department."""
e," ""A crystallized substance"
ic," ""See Acronyc."""
ood," ""In the act of brooding."""
extrin," ""Dextrin not colorable by iodine. See Dextrin."""
ook," ""To brook; to endure."""
oom," ""A room before"
oot," ""A nutritive starch obtained from the rootstocks of Maranta arundinacea"
oous," ""Colorless; achromatic."""
opetalous," ""Produced by the conversion of the stamens into petals"
ophagi," ""Cannibals; man-eaters; anthropophagi."""
ophagous," ""Anthropophagous."""
ophic," ""Relating to atrophy."""
ophied," ""of Atrophy"""
ophobia," ""Alt. of Aerophoby"""
ophoby," ""Dread of a current of air."""
ophore," ""The part which in some Siphonophora bears the male gonophores."""
ophy," ""To waste away; to dwindle."""
te," ""A plant growing entirely in the air"
opia," ""Same as Atropine."""
opic," ""Alt. of Allotropical"""
opine," ""A poisonous"
opism," ""A condition of the system produced by long use of belladonna."""
opize," ""To change in physical properties but not in substance."""
oplane," ""A flying machine"
opous," ""Not inverted; orthotropous."""
opy," ""The property of existing in two or more conditions which are distinct in their physical or chemical relations."""
orse," ""Forward or upward in direction."""
osa," ""A group of corals in which the coral is not porous; -- opposed to Perforata."""
oscope," ""An apparatus designed for collecting spores"
oscopy," ""The observation of the state and variations of the atmosphere."""
ose," ""To drench; to besprinkle; to moisten."""
osiderite," ""A mass of meteoric iron."""
osion," ""A gnawing."""
osphere," ""The atmosphere."""
osphinx," ""A man sphinx; a sphinx having the head of a man and the body of a lion."""
ospore," ""A spore of some algae"
ostat," ""A balloonist; an aeronaut."""
ot," ""Alt. of Algaroth"""
omous," ""Having the filaments of the stamens divided into two parts."""
omy," ""Dissection of the human body"
ous," ""Avaricious."""
overt," ""To bend forward."""
ovilla," ""The agglutinated seeds and husks of the legumes of a South American tree (Inga Marthae). It is valuable for tanning leather"
ow," ""A missile weapon of offense"
oyo," ""The dry bed of a small stream."""
shire," ""One of a superior breed of cattle from Ayrshire"
t," ""To maintain or defend"
hic," ""Having unequal oblique axes; as"
hite," ""A mineral of the feldspar family"
hoscope," ""An optical toy for producing amusing figures or pictures by means of two revolving disks"
hritic," ""A remedy against gout."""
hropoda," ""One of the divisions of Articulata in which there are no jointed legs"
hropodous," ""Having no jointed legs; pertaining to Anarthropoda."""
hrous," ""Without joints"
ite," ""A bituminous mineral resembling asphaltum"
ype," ""A picture printed from a kind of gelatine plate produced by means of a photographic negative."""
uginous," ""Of the nature or color of verdigris"
ugo," ""The rust of any metal"
uism," ""Regard for others"
uist," ""One imbued with altruism; -- opposed to egoist."""
um," ""A cavern or cavity"
uncate," ""To root up."""
uncation," ""Eradication."""
uncator," ""An instrument for pruning trees"
unk," ""The segment of the body of an insect to which the wings are attached; the thorax."""
upt," ""To tear off or asunder."""
ustion," ""A vassal or voluntary follower of Frankish princes in their enterprises"""
val," ""Pertaining to a heap."""
vate," ""Heaped"
vation," ""A heaping up; accumulation."""
vative," ""Heaped up; tending to heap up."""
vose," ""Full of heaps."""
vuline," ""Resembling little heaps."""
y," ""See Aerie."""
pa," ""A extinct genus of Branchiopoda"
s," ""of Azalea"""
-de-camp," ""of Aid-de-camp"""
a," ""A name given to either of the projecting ends of Saturn's ring."""
bbatarian," ""One of a sect which opposes the observance of the Christian Sabbath."""
cerdotal," ""Hostile to priests or the priesthood."""
id," ""Said before"
tion," ""A turning from with dislike; aversion."""
cence," ""The act of becoming white; whitishness."""
cent," ""Becoming white or whitish; moderately white."""
cess," ""A collection of pus or purulent matter in any tissue or organ of the body"
chin," ""See Arshine."""
cians," ""Alt. of Antiscii"""
cii," ""The inhabitants of the earth"
cind," ""To cut off."""
cision," ""See Abscission."""
ciss," ""See Abscissa."""
coletic," ""Alt. of Antiscolic"""
colic," ""Anthelmintic."""
cond," ""To hide; to conceal."""
corbutic," ""A remedy for scurvy."""
criptural," ""Opposed to"
culapian," ""Pertaining to Aesculapius or to the healing art; medical; medicinal."""
culapius," ""The god of medicine. Hence"
culation," ""Impregnation by external contact"
culin," ""Same as Esculin."""
cus," ""One of the tiles or squares of a tessellated pavement; an abaculus."""
e," ""To turn away."""
a," ""On the sea; at sea; toward the sea."""
l," ""Alt. of Amzel"""
nce," ""Inattention to things present; abstraction (of mind); as"
nt," ""To withhold from being present."""
palous," ""Standing before a sepal"
ptic," ""A substance which prevents or retards putrefaction"
rated," ""Having the extremities terminate in the heads of eagles"
res," ""A Linnaean order of aquatic birds swimming by means of webbed feet"
riformes," ""A division of birds including the geese"
rine," ""Pertaining to the Anseres."""
rous," ""Resembling a goose; silly; simple."""
y-book," ""An A-B-C book; a primer."""
haft," ""The hypoptilum."""
hine," ""A Russian measure of length = 2 ft. 4.246 inches."""
hip," ""The office or dignity of an autocrat."""
s," ""In the middle of a ship"
hore," ""Along the shore or coast."""
ic," ""Of or derived from anise; as"
ide," ""Along or by the side; side by side with; -- often with of; as"
ies," ""of Argosy"""
ine," ""A compound of arsenic and hydrogen"
ing," ""of Asperse"""
inth," ""Alt. of Absinthe"""
ion," ""The object of dislike or repugnance."""
iopesis," ""A figure of speech in which the speaker breaks off suddenly"
is," ""The elevation of the hand"
itic," ""Destroying the appetite"
ive," ""Tending to asperse; defamatory; slanderous."""
lavery," ""Opposition to slavery."""
m," ""The belief that inanimate objects and the phenomena of nature are endowed with personal life or a living soul; also"
an," ""A man skilled in an art or in arts."""
art," ""Smartweed; water pepper."""
etrike," ""Arithmetic."""
ia," ""Loss of the sense of smell."""
ocial," ""Tending to interrupt or destroy social intercourse; averse to society"
odactyla," ""Alt. of Anisodactyls"""
odactylous," ""Characterized by unequal toes"
odactyls," ""A group of perching birds which are anisodactylous."""
oir," ""An aspergill."""
olar," ""Opposite to the sun; -- said of the point in the heavens 180� distant from the sun."""
olute," ""In a plane"
olution," ""Delivery"
olutism," ""Doctrine of absolute decrees."""
olutist," ""Of or pertaining to absolutism; arbitrary; despotic; as"
olutory," ""Serving to absolve; absolving."""
olvable," ""That may be absolved."""
olvatory," ""Conferring absolution; absolutory."""
olve," ""To resolve or explain."""
olving," ""of Absolve"""
ome," ""Expressive of awe or terror."""
ric," ""Not isomeric; not made of the same components in the same proportions."""
rous," ""Having the number of floral organs unequal"
tric," ""Not isometric; having unsymmetrical parts; -- said of crystals with three unequal axes."""
on," ""The malicious burning of a dwelling house or outhouse of another man"
ant," ""Discordant; contrary; -- opposed to consonant."""
ous," ""Discordant; inharmonious; incongruous."""
opetalous," ""Having unequal petals."""
ophyllous," ""Having unequal leaves."""
opic," ""Alt. of Esopic"""
opleura," ""A primary division of gastropods"
opoda," ""A division of Crustacea"
orb," ""To take up by cohesive"
oria," ""of Aspersorium"""
orium," ""A brush for sprinkling holy water; an aspergill."""
orpt," ""Absorbed."""
ostemonous," ""Having unequal stamens; having stamens different in number from the petals."""
osthenic," ""Of unequal strength."""
otrope," ""Alt. of Anisotropic"""
otropic," ""Not isotropic; having different properties in different directions; thus"
otropous," ""Anisotropic."""
p," ""In a state of gasping."""
asmodic," ""A medicine which prevents or allays spasms or convulsions."""
ast," ""A foot of four syllables"
here," ""The portion of air in any locality"
heric," ""Alt. of Atmospherical"""
herology," ""The science or a treatise on the atmosphere."""
ice," ""The berry of the pimento (Eugenia pimenta)"
lenetic," ""An antisplenetic medicine."""
quatulate," ""To take one's self off; to decamp."""
que hoc," ""The technical words of denial used in traversing what has been alleged"
s," ""An anchoress."""
e," ""See Alms."""
t," ""Cease; stop; stay."""
ain," ""To hinder; to withhold."""
ake," ""A stake or pole projecting from"
asies," ""of Apostasy"""
asy," ""An abandonment of what one has voluntarily professed; a total desertion of departure from one's faith"
ate," ""To apostatize."""
atic," ""Apostatical."""
atize," ""To renounce totally a religious belief once professed; to forsake one's church"
atizing," ""of Apostatize"""
emate," ""To form an abscess; to swell and fill with pus."""
emation," ""The formation of an aposteme; the process of suppuration."""
ematous," ""Pertaining to"
eme," ""An abscess; a swelling filled with purulent matter."""
emious," ""Promotive of abstemiousness."""
ention," ""The act of abstaining; a holding aloof."""
entious," ""Characterized by abstinence; self-restraining."""
erge," ""To make clean by wiping; to wipe away; to cleanse; hence"
erse," ""To absterge; to cleanse; to purge away."""
ersion," ""Act of wiping clean; a cleansing; a purging."""
ersive," ""Something cleansing."""
hesia," ""Perception by the senses; feeling; -- the opposite of anaesthesia."""
hesiometer," ""Alt. of Esthesiometer"""
hesis," ""Sensuous perception."""
hesodic," ""Conveying sensory or afferent impulses; -- said of nerves."""
hete," ""One who makes much or overmuch of aesthetics."""
hetic," ""Alt. of Aesthetical"""
hmatic," ""A remedy for asthma."""
ho-physiology," ""The science of sensation in relation to nervous action."""
ic," ""Pertaining to fields or the country"
il," ""Alt. of Apostille"""
inence," ""The practice of self-denial by depriving one's self of certain kinds of food or drink"
inency," ""Abstinence."""
inent," ""One of a sect who appeared in France and Spain in the 3d century."""
ival," ""Of or belonging to the summer; as"
ivate," ""To pass the summer in a state of torpor."""
ivation," ""The arrangement of the petals in a flower bud"
le," ""A brief letter dimissory sent by a court appealed from to the superior court"
ock," ""A long staff"
olate," ""The dignity or office of the pope"
olic," ""A member of one of certain ascetic sects which at various times professed to imitate the practice of the apostles."""
one," ""A variety of jade. It is used by some savages"
orted," ""Wrested away."""
ract," ""A powdered solid extract of a vegetable substance mixed with sugar of milk in such proportion that one part of the abstract represents two parts of the original substance."""
ringe," ""To unbind."""
rophe," ""The mark ['] used to denote that a word is contracted (as in ne'er for never"
rophic," ""Pertaining to an apostrophe"
rophize," ""To use the rhetorical figure called apostrophe."""
rophon," ""An argument retorted on an opponent."""
rude," ""To thrust away."""
rumatic," ""A medicine for scrofula."""
rumous," ""Good against scrofulous disorders."""
ruse," ""Remote from apprehension; difficult to be comprehended or understood; recondite; as"
rusion," ""The act of thrusting away."""
rusity," ""Abstruseness; that which is abstruse."""
uary," ""See Estuary."""
ume," ""See Aposteme."""
uous," ""Glowing; agitated"
um," ""Alt. of Abomasus"""
e," ""To consume gradually; to waste away."""
ption," ""Act of wasting away; a consuming; extinction."""
urd," ""An absurdity."""
us," ""The fourth or digestive stomach of a ruminant"
wer," ""A counter-statement of facts in a course of pleadings; a confutation of what the other party has alleged; a responsive declaration by a witness in reply to a question. In Equity"
y," ""A large ship"
philitic," ""A medicine for syphilis."""
t," ""To turn away."""
a," ""The Zoroastrian scriptures. See Zend-Avesta."""
bal," ""See Atabal."""
ble," ""Capable of being allotted."""
bular," ""Cup-shaped; saucer-shaped; acetabuliform."""
bulifera," ""The division of Cephalopoda in which the arms are furnished with cup-shaped suckers"
buliferous," ""Furnished with fleshy cups for adhering to bodies"
buliform," ""Shaped like a shallow cup; saucer-shaped; as"
bulum," ""One of the lobes of the placenta in ruminating animals."""
cca," ""Attack at once; -- a direction at the end of a movement to show that the next is to follow immediately"
ch," ""An attachment."""
ck," ""The beginning of corrosive"
ctite," ""One of a sect of ancient Christians"
cus," ""A genus of crustaceans"
gas," ""Alt. of Attagen"""
ge," ""Exchange business; also"
n," ""A species of sand grouse (Syrrghaptes Pallasii) found in Asia and rarely in southern Europe."""
ghan," ""See Yataghan."""
in," ""Attainment."""
l," ""Same as Attle."""
ous," ""Having no petals"
tic," ""Styptic."""
me," ""To broach; to begin."""
mide," ""A white crystalline solid"
minate," ""To corrupt; to defile; to contaminate."""
nce," ""The act of giving possession of a copyhold estate."""
nilide," ""A compound of aniline with acetyl"
r," ""Incarnation; manifestation as an object of worship or admiration."""
board," ""Over to the starboard side; -- said of the tiller."""
ious," ""Used in salads; as"
oth," ""of Ashtoreth"""
t," ""Same as Astert."""
y," ""An acid pulp in certain fruits"
sk," ""To take to task; to blame."""
ste," ""To taste or cause to taste."""
r," ""See Aleconner."""
te," ""Estate; state."""
tic," ""Having little or no tendency to take a fixed or definite position or direction: thus"
tion," ""Constriction or contraction of some natural passage"
tur," ""The certificate of admission given in some American colleges."""
e," ""A small intrenchment or work of palisades"
y," ""An anchor is said to be astay"
e," ""Alt. of Auriculated"""
d," ""Adorned with eagles' heads."""
e," ""One to whom anything is allotted; one to whom an allotment is made."""
ism," ""Genteel irony; a polite and ingenious manner of deriding another."""
l," ""An arch"
esm," ""The calculation and explanation of a nativity."""
mple," ""The portico"
r," ""Adventure; hap."""
s," ""A collection of serous fluid in the cavity of the abdomen; dropsy of the peritoneum."""
hecaries," ""of Apothecary"""
hecary," ""One who prepares and sells drugs or compounds for medicinal purposes."""
hecia," ""of Apothecium"""
hecium," ""The ascigerous fructification of lichens"
hegm," ""Alt. of Apophthegm"""
heism," ""The doctrine of antitheists."""
heist," ""A disbeliever in the existence of God."""
hem," ""A deposit formed in a liquid extract of a vegetable substance by exposure to the air."""
a," ""Any person or thing anathematized"
henia," ""Alt. of Astheny"""
henic," ""Characterized by"
henopia," ""Weakness of sight."""
heny," ""Want or loss of strength; debility; diminution of the vital forces."""
heogamous," ""Propagated in an unusual way; cryptogamous."""
heoses," ""of Apotheosis"""
heosis," ""Glorification; exaltation."""
heosize," ""To exalt to the dignity of a deity; to declare to be a god; to deify; to glorify."""
her," ""Any or some; any different person"
ous," ""Destitute of anthers."""
heses," ""of Antithesis"""
hesia," ""Alt. of Anesthetic"""
hesis," ""A dressing room connected with a public bath."""
het," ""An antithetic or contrasted statement."""
ic," ""Same as Anaesthesia"
hing," ""In any measure; anywise; at all."""
hiology," ""The science which treats of the nature of truth and evidence."""
hiops mineral," ""Same as Ethiops mineral."""
hma," ""A disease"
hogen," ""A compound of nitrogen and boro/"
hoscope," ""An instrument for viewing pictures by means of a lens"
hought," ""Reflection after an act; later or subsequent thought or expedient."""
hous," ""Destitute of flowers; flowerless."""
hrioscope," ""An instrument consisting in part of a differential thermometer. It is used for measuring changes of temperature produced by different conditions of the sky"
ial," ""Belonging to an abbey; as"
ic," ""An Athenian; an Athenian author."""
al," ""Abbatial."""
ide," ""The time at or near All Saints"
ies," ""of Admiralty"""
ifa," ""An animal of the barnacle tribe"
ifer," ""Same as Anatifa."""
ous," ""Containing or producing agates."""
ification," ""The act of making acetous or sour; the process of converting"
ified," ""of Acetify"""
ifier," ""An apparatus for hastening acetification."""
ify," ""To turn acid."""
igmatic," ""Affected with"
igmatism," ""A defect of the eye or of a lens"
iguous," ""Touching; bordering; contiguous."""
ile," ""Inhabiting the water."""
ime," ""In time past; formerly."""
ter," ""An instrument for estimating the amount of acetic acid in vinegar or in any liquid containing acetic acid."""
try," ""The act or method of ascertaining the strength of vinegar"
in," ""A substance produced by acting upon uric with warm and very dilute nitric acid."""
e," ""Of or pertaining to the ducks; ducklike."""
g," ""of Applot"""
e," ""To touch lightly."""
t," ""Alt. of Aquatinta"""
iological," ""Pertaining to aetiology; assigning a cause."""
iology," ""The assignment of a cause."""
ion," ""The act of driving a chariot or a carriage."""
iptoe," ""On tiptoe; eagerly expecting."""
ipulate," ""To assent."""
ipulation," ""Stipulation; agreement."""
ir," ""Stirring; in a state of activity or motion; out of bed."""
e," ""The internal parts of a flower"
ing," ""of Attire"""
isca," ""A group of Arachnida. See Illust. in Appendix."""
ism," ""Anathematization."""
ites," ""See Eaglestone."""
itious," ""Supplemental; not inherent or original; adscititious; additional; assumed."""
itude," ""Fig.: Position as indicating action"
itudinal," ""Relating to attitude."""
itudinarian," ""One who attitudinizes; a posture maker."""
itudinize," ""To assume affected attitudes; to strike an attitude; to pose."""
ive," ""Characterized by amalgamation."""
ization," ""The act of impregnating or secting with aroma."""
ize," ""To impregnate with aroma; to render aromatic; to give a spicy scent or taste to; to perfume."""
izing," ""of Aromatize"""
le," ""Rubbish or refuse consisting of broken rock containing little or no ore."""
o," ""Same as Annotto."""
cism," ""Compound interest."""
geal," ""Of or pertaining to arctic lands; as"
idea," ""A group of the Carnivora"
llent," ""Lifting up; raising; as"
mach," ""A cavity which leads into the stomach"
matous," ""Alt. of Astomous"""
me," ""The remaining part of a whole tone after a smaller semitone has been deducted from it; a major semitone."""
ter," ""Same as Acetimeter."""
mic," ""Alt. of Anatomical"""
mies," ""of Anatomy"""
mism," ""The doctrine that the anatomical structure explains all the phenomena of the organism or of animal life."""
mist," ""One who is skilled in the art of anatomy"
mization," ""The act of anatomizing."""
mize," ""To discriminate minutely or carefully; to analyze."""
mizing," ""of Anatomize"""
mose," ""To inosculate; to intercommunicate by anastomosis"
mosing," ""of Anastomose"""
mosis," ""The inosculation of vessels"
motic," ""Of or pertaining to anastomosis."""
mous," ""Not possessing a mouth."""
mozed," ""of Anastomose"""
my," ""A skeleton; anything anatomized or dissected"
n," ""Alt. of Astone"""
ce," ""At once; together."""
e," ""See At one."""
ic," ""Of or pertaining to acetone; as"
op," ""In a stooping or inclined position."""
r," ""One who"
eth," ""The principal female divinity of the Phoenicians"
n," ""To agree to become tenant to one to whom reversion has been granted."""
y," ""Contributing to tillage."""
se," ""Sour like vinegar; acetous."""
sity," ""The quality of being acetous; sourness."""
und," ""To astonish; to strike with amazement; to confound with wonder"
us," ""Of"
xin," ""Alt. of Antitoxine"""
rachan," ""See Astrakhan."""
ract," ""Attraction."""
raddle," ""In a straddling position; astride; bestriding; as"
raean," ""A coral of the family Astraeidae; a star coral."""
ragal," ""A round molding encircling a cannon near the mouth."""
ragus," ""A prominence on the lower posterior portion of the concha of the external ear"
rahent," ""A substance which"
raitor," ""A chief or transcendent traitor."""
rakhan," ""The skin of stillborn or young lambs of that region"
ral," ""Pertaining to"
rand," ""Stranded."""
rap," ""To adorn with trapping; to array."""
ray," ""Out of the right"
re," ""A rude apparatus for pulverizing ores"
asurer," ""A chief treasurer. Specifically"
ctation," ""Frequent handling or touching."""
e," ""Axle or axletree."""
ptic," ""Overthrowing; defeating; -- applied to Plato's refutative dialogues."""
ributable," ""Capable of being attributed; ascribable; imputable."""
ribute," ""Quality"
ributing," ""of Attribute"""
ribution," ""That which is ascribed or attributed."""
ributive," ""A word that denotes an attribute; esp. a modifying word joined to a noun; an adjective or adjective phrase."""
rict," ""Concise; contracted."""
ride," ""With one leg on each side"
riferous," ""Bearing stars."""
ringe," ""To bind by moral or legal obligation."""
ringing," ""of Astringe"""
rite," ""Repentant from fear of punishment; having attrition of grief for sin; -- opposed to contrite."""
rition," ""Grief for sin arising only from fear of punishment or feelings of shame. See Contrition."""
ro-," ""The combining form of the Greek word 'a`stron"
rochanter," ""An articular surface on the ilium of birds against which the great trochanter of the femur plays."""
rofel," ""Alt. of Astrofell"""
rogeny," ""The creation or evolution of the stars or the heavens."""
rognosy," ""The science or knowledge of the stars"
rogony," ""Same as Astrogeny."""
rography," ""The art of describing or delineating the stars; a description or mapping of the heavens."""
roite," ""A radiated stone or fossil; star-stone."""
rolabe," ""A stereographic projection of the sphere on the plane of a great circle"
rolater," ""A worshiper of the stars."""
rolatry," ""The worship of the stars."""
rolithology," ""The science of aerolites."""
rologer," ""One who practices astrology; one who professes to foretell events by the aspects and situation of the stars."""
rologian," ""An astrologer."""
rologic," ""Alt. of Astrological"""
rologize," ""To apply astrology to; to study or practice astrology."""
rology," ""In its etymological signification"
romantic," ""Of or pertaining to divination by means of the stars; astrologic."""
rometeorology," ""The investigation of the relation between the sun"
rometer," ""An instrument for comparing the relative amount of the light of stars."""
rometry," ""The art of making measurements among the stars"
ron," ""Saltpeter."""
omer," ""One who is versed in astronomy; one who has a knowledge of the laws of the heavenly orbs"
omian," ""An astrologer."""
omic," ""Astronomical."""
omize," ""To study or to talk astronomy."""
omy," ""A treatise on"
ropal," ""Alt. of Antitropous"""
rophe," ""An inversion of the natural order of words; as"
l," ""See Astrofel."""
rophotography," ""The application of photography to the delineation of the sun"
rophysical," ""Pertaining to the physics of astronomical science."""
rophyton," ""A genus of ophiurans having the arms much branched."""
ropous," ""At the extremity most remote from the hilum"
roscope," ""An old astronomical instrument"
roscopy," ""Observation of the stars."""
rotheology," ""Theology founded on observation or knowledge of the celestial bodies."""
ructive," ""Building up; constructive; -- opposed to destructive."""
rut," ""In a strutting manner; with a strutting gait."""
ry," ""Adultery. See Advoutry."""
s," ""The group including man alone."""
ta," ""See Annotto."""
te," ""A French cordial or liqueur flavored with anise seeds."""
to," ""See Annotto."""
ucious," ""Subtle; cunning; astute."""
ucity," ""Craftiness; astuteness."""
un," ""To stun."""
e," ""To arrange fitly; to make accordant."""
ing," ""of Attune"""
ure," ""The act of affixing"
urian," ""A native of Asturias."""
urus," ""A fixed star of the first magnitude in the constellation Bootes."""
ute," ""Critically discerning; sagacious; shrewd; subtle; crafty."""
y," ""Of the nature of agate"
l," ""A complex"
ar," ""Without columns or pilasters."""
len," ""A small dam to prevent free passage of water in an adit or level."""
pal," ""Antitypical."""
pe," ""That of which the type is the pattern or representation; that which is represented by the type or symbol."""
pical," ""Of or pertaining to an antitype; explaining the type."""
pous," ""Resisting blows; hard."""
py," ""Opposition or resistance of matter to force."""
u," ""The Asiatic gazelle."""
 fait," ""Expert; skillful; well instructed."""
able," ""Capable of being accented."""
age," ""To abate or subside."""
aging," ""of Assuage"""
al," ""Auditory."""
ara," ""The crab-eating raccoon (Procyon cancrivorus)"
arial," ""Of or pertaining to actuaries; as"
aries," ""of Actuary"""
ary," ""A yearbook."""
asive," ""Mitigating; tranquilizing; soothing."""
ate," ""Alt. of Arcuated"""
ating," ""of Actuate"""
ation," ""A mode of propagating trees by bending branches to the ground"
ator," ""One who actuates"
bade," ""An open air concert in the morning"
baine," ""Succession to the goods of a stranger not naturalized."""
balist," ""A crossbow."""
be," ""An alb."""
bin," ""A broken gait of a horse"
bis," ""An Egyptian deity"
bjugate," ""To bring into subjection."""
burn," ""Reddish brown."""
bus," ""See Arquebus."""
caria," ""A genus of tall conifers of the pine family. The species are confined mostly to South America and Australia. The wood cells differ from those of other in having the dots in their lateral surfaces in two or three rows"
ce," ""To bring forward or offer"
chenium," ""The part of the neck nearest the back."""
cht," ""Property; possession."""
cible," ""Capable of being adduced."""
cing," ""of Adduce"""
ck," ""In a frenzied and reckless manner."""
ct," ""To draw towards a common center or a middle line."""
ary," ""That which is superadded; augmentation."""
ion," ""To sell by auction."""
cupation," ""Birdcatching; fowling."""
dacious," ""Committed with"
dacity," ""Reckless daring; presumptuous impudence; -- implying a contempt of law or moral restraints."""
de," ""To compare allusively; to refer (something) as applicable."""
l," ""One of the pear-shaped pots open at both ends"
dibility," ""The quality of being audible; power of being heard; audible capacity."""
dible," ""That which may be heard."""
dibly," ""So as to be heard."""
dience," ""An auditory; an assembly of hearers. Also applied by authors to their readers."""
dient," ""A hearer; especially a catechumen in the early church."""
ding," ""of Allude"""
diometer," ""An instrument by which the power of hearing can be gauged and recorded on a scale."""
diphone," ""An instrument which"
dit," ""To settle or adjust an account."""
efaction," ""The act of accustoming"
eler," ""A priest employed in saying annuals"
ent," ""Nodding; as"
etude," ""Accustomedness; habit; habitual use."""
f," ""A changeling or elf child"
gean," ""Hence: Exceedingly filthy or corrupt."""
ger," ""An instrument for boring or perforating soils or rocks"
get," ""A priming tube connecting the charge chamber with the gallery"
